,C1,C2,C3,state,action,optimal_cost,year
343,74.79881795035679,74.32455953377857,103.63947765913147,6,1,74.32455953377857,35
344,89.92578948119406,118.29881795035679,103.63947765913147,5,0,89.92578948119406,35
345,99.2109940150054,143.42578948119404,103.63947765913147,4,0,99.2109940150054,35
346,602.7094776591314,154.71099401500538,103.63947765913147,3,2,103.63947765913147,35
347,2102.709477659131,1659.7094776591312,1103.6394776591314,2,2,1103.6394776591314,35
348,2102.709477659131,2160.709477659131,1103.6394776591314,1,2,1103.6394776591314,35
349,2102.709477659131,2161.209477659131,1103.6394776591314,0,2,1103.6394776591314,35
350,43.639477659131465,44.139477659131465,102.70947765913147,9,0,43.639477659131465,36
351,47.9706464903003,46.639477659131465,102.70947765913147,8,1,46.639477659131465,36
352,56.89455953377857,56.4706464903003,102.70947765913147,7,1,56.4706464903003,36
353,73.8689817897655,73.39455953377856,102.70947765913147,6,1,73.39455953377856,36
354,88.99743082909215,117.3689817897655,102.70947765913147,5,0,88.99743082909215,36
355,98.28101735011111,142.49743082909214,102.70947765913147,4,0,98.28101735011111,36
356,601.7794776591315,153.7810173501111,102.70947765913147,3,2,102.70947765913147,36
357,2101.7794776591318,1658.7794776591318,1102.7094776591314,2,2,1102.7094776591314,36
358,2101.7794776591318,2159.7794776591318,1102.7094776591314,1,2,1102.7094776591314,36
359,2101.7794776591318,2160.2794776591318,1102.7094776591314,0,2,1102.7094776591314,36
360,42.709477659131466,43.209477659131466,101.77947765913146,9,0,42.709477659131466,37
361,47.040646490300304,45.709477659131466,101.77947765913146,8,1,45.709477659131466,37
362,55.96455953377856,55.540646490300304,101.77947765913146,7,1,55.540646490300304,37
363,72.93916345965289,72.46455953377856,101.77947765913146,6,1,72.46455953377856,37
364,88.06925126696687,116.43916345965289,101.77947765913146,5,0,88.06925126696687,37
365,97.35104688821963,141.5692512669669,101.77947765913146,4,0,97.35104688821963,37
366,600.8494776591315,152.85104688821963,101.77947765913146,3,2,101.77947765913146,37
367,2100.8494776591315,1657.8494776591315,1101.7794776591315,2,2,1101.7794776591315,37
368,2100.8494776591315,2158.8494776591315,1101.7794776591315,1,2,1101.7794776591315,37
